Medidas feitas em: 11-05-2026
Ensaio Nº,Hora,Distância Esperada (cm),Distância Lida (cm)
1,18:15:43,0,177.00
2,18:15:43,5,177.00
3,18:15:44,10,177.00
4,18:15:44,15,11.00
5,18:15:45,20,11.00
6,18:15:45,25,13.00
7,18:15:46,30,16.00
8,18:15:46,35,16.00
9,18:15:47,40,21.00
10,18:15:47,45,20.00
11,18:15:48,50,22.00
12,18:15:48,55,25.00
13,18:15:49,60,25.00
14,18:15:49,65,28.00
15,18:15:50,70,29.00
16,18:15:50,75,30.00
17,18:15:51,80,33.00
18,18:15:51,85,34.00
19,18:15:52,90,37.00
20,18:15:52,95,37.00
21,18:15:53,100,39.00
22,18:15:53,105,41.00
23,18:15:54,110,41.00
24,18:15:54,115,44.00
25,18:15:55,120,42.00
26,18:15:55,125,45.00
27,18:15:56,130,47.00
28,18:15:56,135,46.00
29,18:15:57,140,49.00
30,18:15:57,145,50.00
31,18:15:58,150,50.00
32,18:15:58,155,53.00
33,18:15:59,160,52.00
34,18:15:59,165,55.00
35,18:16:00,170,55.00
36,18:16:00,175,55.00
37,18:16:01,180,56.00
38,18:16:01,185,59.00
39,18:16:02,190,59.00
40,18:16:02,195,60.00
41,18:16:03,200,61.00
